Column,Name of Column,Test question,Data Type,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87.8,1,2,,,,,FALSE,,2|4,2,92,2,0,0,1|2|3|5|6,,0,,18,3,1,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,105,09/11/2017
,80.3,1,2,,,,,FALSE,,1|2,2,70,3,0,0,1|2|4|5|6,,0,,36,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,73.7,1,2,,,,1,FALSE,,4,3,116,3,0,0,1|2|3|4,,0,,3,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,3,,,,,
,60.8,2,2,,,,,FALSE,,2,3,43,3,0,0,1|2|5|6,,0,,31,4,2,FALSE,1,0,FALSE,FALSE,5,,FALSE,1,3,FALSE,FALSE,,92,24/10/2017
,68.1,2,2,,,,0,FALSE,,2|4,3,139,2,0,0,1|2|4,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,,FALSE,,,
,52.9,1,4,,,,,FALSE,,2,2,64,3,0,0,1|2|5|6,,1,,5,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,37,28/08/2017
,67.7,1,2,,,,,FALSE,,1|2,3,80,3,0,0,1|2,,0,,11,4,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,75.8,1,2,,,,,FALSE,,1|2|4|6,3,200,3,0,0,1|3|5|6,,0,,11,5,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,50,11/09/2017
,57.3,2,2,,,,,FALSE,,0,3,71,3,0,0,5|6,,0,,9,2,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,68,28/09/2017
,78.1,2,2,,,,1,FALSE,,0,2,75,2,0,0,0,,0,,83,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,,FALSE,,,
,76.3,1,1,,,,4,FALSE,,2|4,3,86,2,0,0,1|2|3|4|5|6,,0,,,3,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,53,12/09/2017
,75.5,1,2,,,,,FALSE,,2,2,83,2,0,0,1|2|5|6,,0,,13,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,44,04/09/2017
,78.5,1,4,,,,,FALSE,,0,1,86,2,0,0,1|2,,0,,5,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,61,20/09/2017
,78,2,2,,,,,FALSE,,2|3|4,2,85,3,0,0,1|2|3|5|6,,0,,9,4,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,9,FALSE,FALSE,,46,12/09/2017
,75.6,2,2,,,,,FALSE,,2|4,2,78,3,0,0,1|2|3|6,,0,,4,4,2,TRUE,4,1,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,,,
,63.9,2,2,,,,,FALSE,,1|2|3|4,1,60,4,0,0,1|2|4|5|6,,0,,13,4,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,63,25/09/2017
,71.9,1,1,,,,,FALSE,,2|3|4,2,101,2,0,0,1|2|4|5|6,,0,,,4,2,FALSE,2,1,TRUE,FALSE,5,,FALSE,1,5,FALSE,FALSE,,,
,63.5,1,3,,,,,FALSE,,2,2,93,3,0,0,1|2|3,,0,,31,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,83.8,1,4,,,,,FALSE,,2|3,3,75,4,1,0,1|2|5|6,,1,,12,3,2,TRUE,2,5,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,27,21/08/2017
,85.9,1,2,,,,,FALSE,,2|4,2,94,3,0,0,1,,0,,55,1,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,80.9,1,3,,,,,FALSE,,1|2|3|4,2,61,3,0,0,1|2|3|4|5|6,,0,,9,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,47,05/09/2017
,60.3,2,2,,,,,FALSE,,1|3|4,1,66,3,0,0,1|2|4|5|6,,0,,11,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,196,02/02/2018
,83.2,2,2,,,,,FALSE,,1|2,2,59,3,0,0,1|2,,0,,14,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,75,1,2,,,,,FALSE,,2,3,96,2,0,0,1|2|5,,0,,7,3,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,53,11/09/2017
,69.9,1,1,,,,,FALSE,,1|2|3|4,2,105,3,0,0,1|2|3|4,,0,,,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,46,05/09/2017
,61,1,2,,,,,FALSE,,1|2|4,1,94,3,0,0,1|2|5|6,,0,,13,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,54,12/09/2017
,85.4,1,3,,,,,FALSE,,2|6,3,134,2,0,0,1|2|5|6,,0,,34,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,67.8,1,1,,,,,FALSE,,2,3,82,3,0,0,1|2|4|5|6,,0,,,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,67.7,1,4,,,,,FALSE,,2,1,77,2,0,0,1|2|4|5|6,,1,,4,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,,,
,79,1,2,,,,,FALSE,,2|4|6,3,104,3,0,0,1|2|3|4|5|6,,0,,55,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,43,01/09/2017
,76.3,1,1,,,,,FALSE,,2,2,64,2,0,0,1|2|5|6,,0,,,1,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,1,,FALSE,,,
,62.3,1,1,,,,,FALSE,,2,1,85,3,0,0,1|2|4|5|6,,0,,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,79.2,1,3,,,,,FALSE,,2|4,2,80,3,0,0,1|2|4|5|6,,0,,4,2,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,38,25/08/2017
,54.3,1,1,,,,,FALSE,,1,3,74,3,0,0,1|2|5|6,,0,,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,69,26/09/2017
,76.3,1,1,,,,,FALSE,,1|2|4,2,72,3,0,0,1|2|3|5|6,,0,,,6,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,,49,05/09/2017
,78.8,1,2,,,,,FALSE,,0,2,80,3,0,0,1|5|6,,0,,9,2,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,TRUE,FALSE,,67,22/09/2017
,53.6,1,2,,,,,FALSE,,0,1,64,2,0,0,1|2|5|6,,0,,8,3,2,TRUE,4,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,57,11/09/2017
,68.1,1,2,,,,,FALSE,,1|4,2,85,3,0,0,1|2|5|6,,0,,8,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,108,01/11/2017
,49.3,1,2,,,,,FALSE,,0,2,79,2,0,0,1|2|5|6,,0,,14,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,44,28/08/2017
,79.2,1,2,,,,,FALSE,,1|2,3,93,3,0,0,1|2|5|6,,0,,4,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,62,15/09/2017
,92,1,2,,,,2,FALSE,,2,2,112,4,0,0,1|4,,0,,13,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,,FALSE,,,
,70.3,1,1,,,,,FALSE,,2,2,90,2,0,0,1|2,,0,,,1,1,FALSE,1,,FALSE,FALSE,0,,FALSE,1,1,,FALSE,,,
,63.1,1,4,,,,,FALSE,,2|4,1,135,3,0,0,1|2|5|6,,1,,13,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,75.2,1,3,,,,,FALSE,,0,3,66,2,0,0,1|5,,0,,35,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,41,24/08/2017
,76.8,2,2,,,,,FALSE,,2,2,80,3,0,0,1|2|3|5|6,,0,,9,1,3,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,TRUE,FALSE,,40,23/08/2017
,71.8,1,2,,,,,FALSE,,2|3,1,81,3,0,0,1|2|4|5,,0,,7,2,1,FALSE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,24,07/08/2017
,75.3,1,1,,,,,FALSE,,2,2,88,2,0,0,1|2|4|5|6,,0,,,1,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,48,31/08/2017
,73.3,1,1,,,,,FALSE,,1|2|4|6,2,96,3,1,0,3|4|5|6,,0,,,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,33,15/08/2017
,68.7,2,2,,,,,FALSE,,2,2,61,2,0,0,1|2|4|5|6,,0,,26,5,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,95,17/10/2017
,78.6,1,2,,,,,FALSE,,2|6,2,113,3,0,0,1|2|3|4|5,,0,,6,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,TRUE,FALSE,,,
,77.9,1,2,,,,,FALSE,,2,2,108,3,0,0,1|2|4|5|6,,0,,35,5,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,47,30/08/2017
,66.2,1,5,,,,,FALSE,,2|4,1,81,3,0,0,1|2|4,,0,,54,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,75.3,2,4,,,,,FALSE,,1|2,2,100,2,0,0,1|2|5,,0,,51,2,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,74.8,1,2,,,,,FALSE,,2|3|4,1,59,3,0,0,1|2|5|6,,0,,21,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,54,04/09/2017
,59.9,1,1,,,,,FALSE,,0,1,84,2,0,0,1|2,,0,,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,78,28/09/2017
,80.1,1,1,,,,,FALSE,,1|2|4|6,2,136,3,1,0,2|4|5|6,,0,,,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,56,05/09/2017
,72.8,1,1,,,,,FALSE,,2,3,89,2,0,0,1|2|4,,0,,,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,55,04/09/2017
,65.3,1,1,,,,,FALSE,,2,2,72,2,0,0,1|2|3|5|6,,0,,,3,1,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,58,07/09/2017
,82.5,1,1,,,,,FALSE,,2|3|4,3,68,3,0,0,1|2|5|6,,0,,,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,74.4,2,2,,,,,FALSE,,2,1,55,2,1,0,0,,0,,9,3,1,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,TRUE,FALSE,,184,11/01/2018
,65.8,1,4,,,,,FALSE,,1|2|4,2,88,3,0,0,1|2|4|5|6,,0,,8,3,1,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,10,FALSE,FALSE,,63,12/09/2017
,81.2,1,2,,,,,FALSE,,2|4,2,87,3,0,0,1|2|4|5|6,,0,,30,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,71,21/09/2017
,74.6,1,3,,,,,FALSE,,1|2|4,2,112,3,0,0,1|2|3|5|6,,0,,14,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,41,21/08/2017
,73.6,1,1,,,,,FALSE,,1|2,1,103,3,0,0,1|2|4,,0,,,1,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,44,24/08/2017
,74.5,2,2,,,,1,FALSE,,2,3,109,3,0,0,1|3,,0,,72,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,80,1,2,,,,0,FALSE,,3,2,106,2,0,0,1|2,,0,,10,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,9,,FALSE,,,
,19.1,1,5,,,,0,FALSE,FALSE,0,1,89,1,0,0,0,,0,1,0,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,64,14/09/2017
,65.3,1,2,,,,,FALSE,,0,2,63,3,0,0,1|2|5|6,,0,,6,2,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,126,13/11/2017
,68.8,1,2,,,,1,FALSE,,0,2,63,3,0,0,0,,0,,8,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,72.9,1,4,,,,,FALSE,,1|2|4,1,92,3,0,0,1|2|3|4,,0,,12,3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,35,15/08/2017
,88.2,2,4,,,,0,FALSE,,0,3,76,3,0,0,1|2,,0,,13,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,5,,FALSE,,,
,59.8,1,2,,,,,FALSE,,2|6,2,121,3,0,0,1|2|5|6,,0,,5,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,,
,83.8,2,2,,,,,FALSE,,2,3,67,3,1,0,2|3|5|6,,0,,11,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,38,15/08/2017
,79.3,1,2,,,,,FALSE,,1|2|4,2,138,3,0,0,1|2|3|5,,0,,35,2,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,75.8,1,2,,,,,FALSE,,0,3,70,3,0,0,0,,0,,10,1,1,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,14,FALSE,FALSE,,45,25/08/2017
,78.8,1,3,,,,,FALSE,,2|4,1,107,3,0,0,1|2|4|5|6,,0,,6,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,90,05/10/2017
,73.4,1,1,,,,,FALSE,,3|4|6,2,150,3,0,0,1|2|5|6,,0,,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,38,14/08/2017
,82.3,1,3,,,,1,FALSE,,1|2|4,3,93,2,0,0,2|4,,0,,1,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,77.2,1,2,,,,,FALSE,,2|4,2,88,3,0,0,1|2|4|5|6,,0,,43,1,2,FALSE,2,3,FALSE,FALSE,1,,FALSE,1,21,FALSE,FALSE,,,
,88.6,1,2,,,,,FALSE,,2|3|4,2,130,3,0,0,1|2|5|6,,0,,16,1,2,FALSE,2,1,TRUE,FALSE,5,,FALSE,1,6,FALSE,FALSE,,34,14/08/2017
,66.4,1,2,,,,,FALSE,,2|3,2,86,3,0,0,1|2|3|5|6,,0,,82,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,67,1,3,,,,,FALSE,,2|4,1,82,3,0,0,1|2|4|5|6,,0,,77,2,2,FALSE,2,0,FALSE,FALSE,0,,TRUE,1,4,FALSE,FALSE,,,
,73.8,1,2,,,,,FALSE,,2,3,100,2,0,0,1|2|4|5|6,,0,,10,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,77,22/09/2017
,73.8,1,4,,,,,FALSE,,1|2,2,108,3,0,0,1|2|4|5|6,,0,,13,1,1,FALSE,2,3,FALSE,FALSE,3,,FALSE,1,11,FALSE,TRUE,,,
,65.4,2,2,,,,,FALSE,,0,2,120,2,0,0,1|2,,0,,8,1,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,1,,FALSE,,,
,65.3,1,3,,,,,FALSE,,2,1,84,3,0,0,1|2,,0,,13,1,3,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,76,21/09/2017
,65.9,2,1,,,,,FALSE,,1|2|4,1,78,3,0,0,1|2|3|5|6,,0,,,3,2,TRUE,1,0,FALSE,FALSE,5,,FALSE,1,2,FALSE,FALSE,,60,05/09/2017
,65.4,1,3,,,,,FALSE,,2|4,2,90,3,0,0,1|2|5|6,,0,,20,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,58.1,1,4,,,,,FALSE,,0,1,62,2,0,0,1|2|5|6,,0,,9,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,TRUE,FALSE,,67,11/09/2017
,78.9,1,3,,,,,FALSE,,2,2,79,2,0,0,1|2|6,,0,,8,1,3,FALSE,2,,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,63,08/09/2017
,66.8,1,3,,,,1,FALSE,,1|4,2,97,3,0,0,1|2,,0,,12,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,81.3,1,2,,,,,FALSE,,3,2,70,3,0,0,1|2|5|6,,0,,5,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,47,21/08/2017
,52.8,2,1,,,,,FALSE,,0,2,60,3,0,0,1|2|5|6,,0,,,1,2,FALSE,2,3,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,82,27/09/2017
,62.8,2,1,,,,,FALSE,,2|4,2,86,3,0,0,1|2|4|5|6,,0,,,5,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,47,21/08/2017
,60.8,1,4,,,,,FALSE,,2|3,2,89,3,0,0,1|2|4|5|6,,0,,12,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,49,23/08/2017
,55.3,1,1,,,,,FALSE,,6,2,127,2,0,0,1|2,,0,,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,73.8,2,2,,,,,FALSE,,2,2,78,2,0,0,1|2|5,,0,,27,2,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,42,15/08/2017
,77.5,2,3,,,,,FALSE,,0,2,56,3,0,0,1|2|5|6,,0,,13,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,89,02/10/2017
,68,1,2,,,,,FALSE,,5,2,86,3,0,0,1|2|5|6,,0,,19,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,134,15/11/2017
,68.8,1,2,,,,,FALSE,,3|4,1,82,3,0,0,1|2,,0,,10,4,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,152,04/12/2017
,75.2,2,2,,,,,FALSE,,2,2,97,3,0,0,1|2|4|5|6,,0,,10,2,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,36,07/08/2017
,58.6,2,4,,,,,FALSE,,1|2|3,2,77,2,0,0,1|5|6,,1,,10,3,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,66.1,2,3,,,,,FALSE,,2,1,41,3,0,0,1|3|5|6,,0,,9,3,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,53,23/08/2017
,69.6,1,1,,,,,FALSE,,2|3|4,2,115,3,0,0,1|2|5|6,,0,,,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,129,08/11/2017
,71.8,1,2,,,,,FALSE,,1|2|4|6,2,371,3,0,0,1|2|4|5|6,,0,,21,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,60.6,1,2,,,,,FALSE,,2,2,130,3,0,0,1|2|3|4|5|6,,0,,13,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,50,21/08/2017
,56.4,2,2,,,,,FALSE,,0,2,61,2,0,0,1|2|5|6,,0,,10,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,,FALSE,,,
,73.8,1,1,,,,,FALSE,,2|3|4,2,83,3,0,0,1|5|6,,0,,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,TRUE,FALSE,,44,14/08/2017
,71.6,1,1,,,,,FALSE,,1|2|4|6,2,104,3,0,0,1|2|3|4|5|6,,0,,,3,2,TRUE,4,2,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,,47,22/08/2017
,66.5,1,2,,,,,FALSE,,2,1,98,3,0,0,1|2|6,,0,,12,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,42,11/08/2017
,85,2,2,,,,,FALSE,,2|3|4,1,78,3,0,0,1|2|3|4,,0,,61,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,58,29/08/2017
,80,2,3,,,,,FALSE,,0,3,53,2,0,0,0,,0,,2,1,2,FALSE,4,1,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,88.3,2,2,,,,,FALSE,,1|2,3,92,3,0,0,1|2|3|4|5|6,,0,,10,3,2,TRUE,4,1,FALSE,FALSE,0,,FALSE,1,10,FALSE,FALSE,,,
,79.3,1,1,,,,1,FALSE,,1|2|4,2,106,3,0,0,1|2|4,,0,,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,82.7,1,3,,,,,FALSE,,3|5,3,86,3,0,0,1|6,,0,,3,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,53,22/08/2017
,79.2,1,2,,,,,FALSE,,0,2,89,2,0,0,1|2,,0,,21,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,130,07/11/2017
,75.5,1,2,,,,,FALSE,,1|2,2,97,2,0,0,1|2|3|4|5,,0,,10,3,2,FALSE,2,0,FALSE,FALSE,0,,TRUE,1,4,FALSE,FALSE,,,
,69.3,1,2,,,,,FALSE,,1|2|4|6,2,88,4,0,0,1|2|3|4|5|6,,0,,11,1,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,17,FALSE,FALSE,,237,27/02/2018
,81.1,1,1,,,,,FALSE,,2|4|5,2,134,3,0,0,1|2|3|4|5|6,,0,,,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,53,22/08/2017
,66.3,1,2,,,,,FALSE,,2|3,1,95,4,1,0,1|4|5|6,,0,,3,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,60,31/08/2017
,83,2,2,,,,,FALSE,,1|2,2,111,3,0,0,1|2|5,,0,,9,1,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,67,05/09/2017
,86.5,2,2,,,,,FALSE,,4,2,62,3,1,0,1|2|3|5|6,,0,,13,3,2,TRUE,1,0,FALSE,FALSE,0,,TRUE,1,3,FALSE,FALSE,,41,10/08/2017
,65.8,1,4,,,,,FALSE,,3|4,1,76,3,0,0,1|2|4,,0,,12,5,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,10,FALSE,FALSE,,53,25/08/2017
,81.8,2,2,,,,,FALSE,,1|2,1,72,3,0,0,1|2,,0,,15,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,55,24/08/2017
,69.7,1,2,,,,,FALSE,,2,2,71,2,0,0,1|2|4,,0,,13,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,49,18/08/2017
,58.3,1,3,,,,,FALSE,,2,1,66,3,0,0,1|2|5|6,,0,,9,3,2,TRUE,2,0,TRUE,FALSE,5,,FALSE,1,2,FALSE,FALSE,,46,15/08/2017
,53.2,1,5,,,,,FALSE,,2|6,2,99,3,0,0,1|2|5|6,,0,,16,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,98,05/10/2017
,85.5,1,2,,,,,FALSE,,0,2,79,2,0,0,1|2|5,,0,,29,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,134,10/11/2017
,69.2,1,3,,,,,FALSE,,2,2,70,2,0,0,1|2|5|6,,0,,46,2,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,36,03/08/2017
,82.6,2,2,,,,,FALSE,,4,2,78,3,0,0,1|2|4|5|6,,0,,17,1,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,91,27/09/2017
,71.5,1,1,,,,,FALSE,,2|4,2,79,3,0,0,1|2|4|5|6,,0,,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,65.8,2,5,,,,1,FALSE,FALSE,0,2,66,2,0,0,2,,0,,153,4,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,103,10/10/2017
,53.3,1,2,,,,,FALSE,,0,1,107,3,0,0,1|2,,0,,28,2,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,75,11/09/2017
,85,2,4,,,,,FALSE,,1|2|6,2,150,3,0,0,1|5|6,,0,,19,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,12,FALSE,FALSE,,26,26/07/2017
,63.2,1,3,,,,,FALSE,,2|3,1,80,3,0,0,1|2|5|6,,0,,12,3,2,TRUE,2,1,FALSE,FALSE,0,,TRUE,1,2,FALSE,FALSE,,13,11/07/2017
,78.7,1,1,,,,,FALSE,,4,3,67,3,0,0,1|3,,0,,,3,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,,58,30/08/2017
,76.1,1,4,,,,,FALSE,,0,2,117,2,0,0,1|2,,0,,15,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,30,FALSE,FALSE,,,
,77.2,2,1,,,,,FALSE,,2,2,71,2,1,0,2|3|5|6,,0,,,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,52,18/08/2017
,42,2,4,,,,,FALSE,,0,1,67,3,0,0,1|2|5|6,,0,,9,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,64,30/08/2017
,75.1,1,1,,,,,FALSE,,3|4,1,96,3,0,0,1|2|3|4|5|6,,0,,,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,5,,FALSE,,,
,81.2,1,2,,,,1,FALSE,,2|4,2,104,3,0,0,1|2|3|4,,0,,19,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,,,,,
,54.9,2,4,,,,,FALSE,,1|2,1,52,3,0,0,1|2|5|6,,0,,10,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
